Benchmark,Exp,Core,Covered,Overpredicted,Uncovered,Level
nutch,nopref,0,0,0,1459850,LLC
nutch,spp,0,687386,551304,956328,LLC
nutch,bingo,0,588071,1746670,1505209,LLC
nutch,mlop,0,719721,1358357,1216382,LLC
nutch,pythia,0,90957,1661275,1637466,LLC
nutch,dspatch,0,183160,2062477,1992897,LLC
nutch,ppf,0,88195,1837048,1681727,LLC
nutch,nopref,0,0,0,573375,LLC
nutch,spp,0,1003039,987646,0,LLC
nutch,bingo,0,156617,1764842,453258,LLC
nutch,mlop,0,443595,2604079,243940,LLC
nutch,pythia,0,78261,2227508,552275,LLC
nutch,dspatch,0,156537,3510681,789513,LLC
nutch,ppf,0,92794,2870844,660115,LLC
nutch,nopref,0,0,0,675261,LLC
nutch,spp,0,903204,953016,0,LLC
nutch,bingo,0,165090,1613416,579669,LLC
nutch,mlop,0,468688,2357341,272049,LLC
nutch,pythia,0,75827,2056249,658502,LLC
nutch,dspatch,0,159583,3451188,853482,LLC
nutch,ppf,0,90656,2683725,755769,LLC
nutch,nopref,0,0,0,202308,LLC
nutch,spp,0,258046,251580,0,LLC
nutch,bingo,0,51553,417507,183766,LLC
nutch,mlop,0,158922,739704,106028,LLC
nutch,pythia,0,35716,552520,188905,LLC
nutch,dspatch,0,67945,1090068,268387,LLC
nutch,ppf,0,44113,782951,226701,LLC
nutch,coop_pythia,0,57479,1660819,545281,LLC
nutch,coop_pythia,0,58867,1528535,643511,LLC
nutch,coop_pythia,0,78823,1393494,1591133,LLC
nutch,coop_pythia,0,65035,1682207,535785,LLC
nutch,coop_pythia,0,58910,1626311,644915,LLC
nutch,coop_pythia,0,28204,416866,184386,LLC
streaming,nopref,0,0,0,654063,LLC
streaming,spp,0,1362007,2695459,0,LLC
streaming,bingo,0,468848,4276195,392966,LLC
streaming,mlop,0,955964,6296702,432130,LLC
streaming,pythia,0,91208,4433165,768365,LLC
streaming,dspatch,0,209387,8298919,1498290,LLC
streaming,ppf,0,134855,6401797,1027696,LLC
streaming,nopref,0,0,0,591172,LLC
streaming,spp,0,739005,1390952,50745,LLC
streaming,bingo,0,447295,2269800,309065,LLC
streaming,mlop,0,619214,4361888,615673,LLC
streaming,pythia,0,58981,2523345,630320,LLC
streaming,dspatch,0,192968,4835285,1054372,LLC
streaming,ppf,0,106739,3692254,807660,LLC
streaming,nopref,0,0,0,609049,LLC
streaming,spp,0,808703,1563301,12426,LLC
streaming,bingo,0,442273,2560087,342239,LLC
streaming,mlop,0,775238,4940664,538090,LLC
streaming,pythia,0,61330,2794487,652995,LLC
streaming,dspatch,0,197355,5571552,1138071,LLC
streaming,ppf,0,112791,4173373,868771,LLC
streaming,nopref,0,0,0,662532,LLC
streaming,spp,0,681616,1075236,174695,LLC
streaming,bingo,0,545714,2072845,340924,LLC
streaming,mlop,0,994350,5193042,613696,LLC
streaming,pythia,0,67105,2403460,726003,LLC
streaming,dspatch,0,235120,6184962,1386706,LLC
streaming,ppf,0,127009,4134465,1007865,LLC
streaming,nopref,0,0,0,564418,LLC
streaming,spp,0,855195,1698054,0,LLC
streaming,bingo,0,441689,2686071,293220,LLC
streaming,mlop,0,599775,4717698,581097,LLC
streaming,pythia,0,61087,2936383,599376,LLC
streaming,dspatch,0,192304,5231755,1040382,LLC
streaming,ppf,0,108800,4173701,805105,LLC
streaming,nopref,0,0,0,724442,LLC
streaming,spp,0,757410,1197445,142706,LLC
streaming,bingo,0,476377,2150548,444047,LLC
streaming,mlop,0,682146,4104522,696068,LLC
streaming,pythia,0,78750,2542516,823748,LLC
streaming,dspatch,0,210177,5163987,1354209,LLC
streaming,ppf,0,118784,3834866,1044565,LLC
streaming,coop_pythia,0,69889,4125811,723896,LLC
streaming,coop_pythia,0,44361,2411141,602033,LLC
streaming,coop_pythia,0,49020,2638820,619800,LLC
streaming,coop_pythia,0,50543,2193705,697353,LLC
streaming,coop_pythia,0,47658,2754740,563250,LLC
streaming,coop_pythia,0,66418,2320977,760064,LLC
cloud9,nopref,0,0,0,123655,LLC
cloud9,spp,0,300177,184908,0,LLC
cloud9,bingo,0,391333,1551099,66674,LLC
cloud9,mlop,0,154919,245948,12629,LLC
cloud9,pythia,0,35594,786432,154437,LLC
cloud9,dspatch,0,162037,2094901,336125,LLC
cloud9,ppf,0,30701,764060,180778,LLC
cloud9,nopref,0,0,0,455217,LLC
cloud9,spp,0,345592,253624,116705,LLC
cloud9,bingo,0,922052,3178045,43915,LLC
cloud9,mlop,0,587391,1300425,86241,LLC
cloud9,pythia,0,180964,1437078,395224,LLC
cloud9,dspatch,0,447276,3886165,579857,LLC
cloud9,ppf,0,118896,1196889,420121,LLC
cloud9,nopref,0,0,0,263653,LLC
cloud9,spp,0,375641,273523,0,LLC
cloud9,bingo,0,798928,2505818,0,LLC
cloud9,mlop,0,403703,720248,1972,LLC
cloud9,pythia,0,93207,1437393,278944,LLC
cloud9,dspatch,0,272610,3161938,352571,LLC
cloud9,ppf,0,77529,1238619,303916,LLC
cloud9,nopref,0,0,0,712083,LLC
cloud9,spp,0,418786,318417,327588,LLC
cloud9,bingo,0,1123137,3657321,416924,LLC
